Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
SEIQ,445,0,0.00,0,0.00,31.22,445,0
XSEP,442,0,0.00,0,0.00,36.13,442,0
LQDI,440,27,28.00,31,24.48,26.12,440,0
IBHJ,425,0,0.00,0,0.00,25.83,425,0
QTOC,425,0,0.00,1000,25.64,25.85,425,0
DNOV,420,0,0.00,0,0.00,39.01,420,0
MOHR,407,3,22.62,0,0.00,20.20,407,0
WBAT,407,0,0.00,0,0.00,27.50,407,0
GTIP,406,0,0.00,1,46.86,48.74,406,0
CAOS,401,0,0.00,0,0.00,83.32,401,0
CVAR,401,0,0.00,0,0.00,24.09,401,0
XVOL,401,0,0.00,0,0.00,18.35,401,0
IBMR,400,0,0.00,0,0.00,25.37,400,0
MSTQ,400,0,0.00,0,0.00,29.00,400,0
BAMA,376,0,0.00,0,0.00,26.90,376,0
USMF,371,0,0.00,0,0.00,42.90,371,0
BAMB,360,0,0.00,0,0.00,25.47,360,0
TRTY,350,0,0.00,0,0.00,24.66,150,200
RSST,347,0,0.00,0,0.00,20.10,347,0
GNOV,335,0,0.00,0,0.00,31.87,335,0
EDEN,334,0,0.00,1,91.00,112.37,334,0
BAMU,328,0,0.00,0,0.00,25.15,328,0
TFJL,317,0,0.00,0,0.00,20.71,317,0
APRD,314,0,0.00,0,0.00,24.80,314,0
SUPP,313,0,0.00,0,0.00,56.97,313,0
HJAN,310,0,0.00,0,0.00,24.66,310,0
BAMG,308,0,0.00,1,25.32,28.44,308,0
GMAY,307,0,0.00,0,0.00,33.21,307,0
VWID,303,0,0.00,0,0.00,26.42,303,0
QTJL,300,0,0.00,0,0.00,28.46,300,0
EWUS,299,0,0.00,0,0.00,32.95,299,0
SJIM,297,2,21.85,1,18.00,19.92,297,0
EFAD,287,0,0.00,0,0.00,37.83,287,0
TMDV,286,0,0.00,0,0.00,45.80,286,0
BAMD,279,0,0.00,0,0.00,27.09,279,0
FPRO,279,60,25.00,0,0.00,20.99,279,0
IGHG,276,0,0.00,5,75.00,75.01,276,0
IQM,273,0,0.00,0,0.00,52.24,273,0
QSPT,271,0,0.00,0,0.00,24.23,271,0
PSMJ,270,0,0.00,0,0.00,25.16,200,70
GAPR,265,0,0.00,0,0.00,33.03,265,0
RESE,260,0,0.00,0,0.00,27.55,260,0
CLSE,255,0,0.00,8,14.50,17.77,255,0
BKGI,254,0,0.00,0,0.00,27.56,254,0
ESCR,248,0,0.00,0,0.00,18.47,248,0
FLQS,246,0,0.00,0,0.00,37.68,146,100
FDHT,235,0,0.00,1,16.70,18.86,235,0
GHEE,233,0,0.00,0,0.00,25.10,233,0
GDE,230,0,0.00,0,0.00,27.00,230,0
VAMO,229,0,0.00,0,0.00,27.89,229,0
ARKZ,227,0,0.00,144,28.00,30.76,227,0
IEDI,227,0,0.00,15,35.07,44.70,227,0
PSFJ,216,0,0.00,0,0.00,25.37,216,0
EPRF,213,1,23.20,0,0.00,18.80,213,0
